periodo,anho,cod_cur,cod_est
1,2023,603401,160003440
1,2023,603401,160003645
1,2023,603401,160003841
1,2023,603401,160003900
1,2023,603401,160003906
1,2023,603401,160003924
1,2023,603401,160004004
1,2023,603401,160004005
1,2023,603401,160004008
1,2023,603401,160004031
1,2023,603401,160004038
1,2023,603401,160004050
1,2023,603401,160004104
1,2023,603401,160004107
1,2023,603401,160004108
1,2023,603401,160004109
1,2023,603401,160004111
1,2023,603401,160004112
1,2023,603401,160004119
1,2023,603401,160004125
1,2023,603401,160004126
1,2023,603401,160004127
1,2023,603401,160004130
1,2023,603401,160004132
1,2023,603401,160004134
1,2023,603401,160004141
1,2023,603401,160004146
1,2023,603401,160004200
1,2023,603401,160004201
1,2023,603401,160004203
1,2023,603401,160004204
1,2023,603401,160004210
1,2023,603401,160004211
1,2023,603401,160004212
1,2023,603401,160004215
1,2023,603401,160004216
1,2023,603401,160004221
1,2023,603401,160004224
1,2023,603401,160004232
1,2023,603401,160004238
1,2023,603401,160004240